"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1774","User login with wrong email or password","LMS system","Tue May 12 14:25:45 UTC 2026","passed","Tue May 12 14:25:46 UTC 2026","Authorization","Authentication","",""
"","3513","User login with correct email and password","LMS system","Tue May 12 14:25:47 UTC 2026","passed","Tue May 12 14:25:50 UTC 2026","Authorization","Authentication","",""
"","1657","User login with wrong email or password","LMS system","Tue May 12 14:25:47 UTC 2026","passed","Tue May 12 14:25:49 UTC 2026","Authorization","Authentication","",""
"","1648","Edit course","LMS system","Tue May 12 14:25:55 UTC 2026","broken","Tue May 12 14:25:57 UTC 2026","Courses","Courses","",""
"","1897","User login with wrong email or password","LMS system","Tue May 12 14:25:45 UTC 2026","passed","Tue May 12 14:25:47 UTC 2026","Authorization","Authentication","",""
"","2087","Check displaying of dashboard page","LMS system","Tue May 12 14:25:56 UTC 2026","passed","Tue May 12 14:25:58 UTC 2026","Dashboard","Dashboard","",""
"","1576","Navigation from login page to registration page","LMS system","Tue May 12 14:25:51 UTC 2026","passed","Tue May 12 14:25:52 UTC 2026","Authorization","Authentication","",""
"","1400","Check displaying of empty courses list","LMS system","Tue May 12 14:25:53 UTC 2026","passed","Tue May 12 14:25:55 UTC 2026","Courses","Courses","",""
"","1643","Create course","LMS system","Tue May 12 14:25:54 UTC 2026","broken","Tue May 12 14:25:56 UTC 2026","Courses","Courses","",""
"","2096","Registration with correct email, username and password","LMS system","Tue May 12 14:25:49 UTC 2026","passed","Tue May 12 14:25:51 UTC 2026","Registration","Authentication","",""
