"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4240","Edit course","LMS system","Tue May 12 12:27:10 UTC 2026","passed","Tue May 12 12:27:14 UTC 2026","Courses","Courses","",""
"","1982","User login with wrong email or password","LMS system","Tue May 12 12:26:59 UTC 2026","passed","Tue May 12 12:27:01 UTC 2026","Authorization","Authentication","",""
"","2236","Registration with correct email, username and password","LMS system","Tue May 12 12:27:04 UTC 2026","passed","Tue May 12 12:27:06 UTC 2026","Registration","Authentication","",""
"","1624","Navigation from login page to registration page","LMS system","Tue May 12 12:27:06 UTC 2026","passed","Tue May 12 12:27:07 UTC 2026","Authorization","Authentication","",""
"","1480","Check displaying of empty courses list","LMS system","Tue May 12 12:27:08 UTC 2026","passed","Tue May 12 12:27:10 UTC 2026","Courses","Courses","",""
"","3588","User login with correct email and password","LMS system","Tue May 12 12:27:02 UTC 2026","passed","Tue May 12 12:27:05 UTC 2026","Authorization","Authentication","",""
"","1682","User login with wrong email or password","LMS system","Tue May 12 12:27:02 UTC 2026","passed","Tue May 12 12:27:03 UTC 2026","Authorization","Authentication","",""
"","2523","Create course","LMS system","Tue May 12 12:27:09 UTC 2026","passed","Tue May 12 12:27:12 UTC 2026","Courses","Courses","",""
"","1824","User login with wrong email or password","LMS system","Tue May 12 12:26:59 UTC 2026","passed","Tue May 12 12:27:01 UTC 2026","Authorization","Authentication","",""
"","2357","Check displaying of dashboard page","LMS system","Tue May 12 12:27:12 UTC 2026","passed","Tue May 12 12:27:15 UTC 2026","Dashboard","Dashboard","",""
