"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2008","User login with wrong email or password","LMS system","Thu Apr 23 07:29:13 UTC 2026","passed","Thu Apr 23 07:29:15 UTC 2026","Authorization","Authentication","",""
"","3863","Edit course","LMS system","Thu Apr 23 07:29:24 UTC 2026","passed","Thu Apr 23 07:29:28 UTC 2026","Courses","Courses","",""
"","3550","User login with correct email and password","LMS system","Thu Apr 23 07:29:16 UTC 2026","passed","Thu Apr 23 07:29:19 UTC 2026","Authorization","Authentication","",""
"","1602","Navigation from login page to registration page","LMS system","Thu Apr 23 07:29:20 UTC 2026","passed","Thu Apr 23 07:29:21 UTC 2026","Authorization","Authentication","",""
"","2196","Registration with correct email, username and password","LMS system","Thu Apr 23 07:29:18 UTC 2026","passed","Thu Apr 23 07:29:20 UTC 2026","Registration","Authentication","",""
"","1427","Check displaying of empty courses list","LMS system","Thu Apr 23 07:29:22 UTC 2026","passed","Thu Apr 23 07:29:23 UTC 2026","Courses","Courses","",""
"","2727","Create course","LMS system","Thu Apr 23 07:29:23 UTC 2026","passed","Thu Apr 23 07:29:26 UTC 2026","Courses","Courses","",""
"","1844","User login with wrong email or password","LMS system","Thu Apr 23 07:29:13 UTC 2026","passed","Thu Apr 23 07:29:15 UTC 2026","Authorization","Authentication","",""
"","2075","Check displaying of dashboard page","LMS system","Thu Apr 23 07:29:26 UTC 2026","passed","Thu Apr 23 07:29:28 UTC 2026","Dashboard","Dashboard","",""
"","1657","User login with wrong email or password","LMS system","Thu Apr 23 07:29:16 UTC 2026","passed","Thu Apr 23 07:29:17 UTC 2026","Authorization","Authentication","",""
