"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1472","Navigation from login page to registration page","LMS system","Thu Jun 11 11:04:00 UTC 2026","passed","Thu Jun 11 11:04:02 UTC 2026","Authorization","Authentication","",""
"","1374","User login with wrong email or password","LMS system","Thu Jun 11 11:03:56 UTC 2026","passed","Thu Jun 11 11:03:57 UTC 2026","Authorization","Authentication","",""
"","2209","Registration with correct email, username and password","LMS system","Thu Jun 11 11:03:57 UTC 2026","passed","Thu Jun 11 11:03:59 UTC 2026","Registration","Authentication","",""
"","3195","Create course","LMS system","Thu Jun 11 11:04:04 UTC 2026","passed","Thu Jun 11 11:04:07 UTC 2026","Courses","Courses","",""
"","1738","Check displaying of dashboard page","LMS system","Thu Jun 11 11:04:08 UTC 2026","passed","Thu Jun 11 11:04:10 UTC 2026","Dashboard","Dashboard","",""
"","1663","Check displaying of empty courses list","LMS system","Thu Jun 11 11:04:02 UTC 2026","passed","Thu Jun 11 11:04:03 UTC 2026","Courses","Courses","",""
"","2303","User login with wrong email or password","LMS system","Thu Jun 11 11:03:53 UTC 2026","passed","Thu Jun 11 11:03:55 UTC 2026","Authorization","Authentication","",""
"","4322","User login with correct email and password","LMS system","Thu Jun 11 11:03:56 UTC 2026","passed","Thu Jun 11 11:04:00 UTC 2026","Authorization","Authentication","",""
"","4063","Edit course","LMS system","Thu Jun 11 11:04:04 UTC 2026","passed","Thu Jun 11 11:04:08 UTC 2026","Courses","Courses","",""
"","2289","User login with wrong email or password","LMS system","Thu Jun 11 11:03:53 UTC 2026","passed","Thu Jun 11 11:03:55 UTC 2026","Authorization","Authentication","",""
