"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1223","Navigation from login page to registration page","LMS system","Thu Apr 23 13:46:28 UTC 2026","passed","Thu Apr 23 13:46:30 UTC 2026","Authorization","Authentication","",""
"","1471","Check displaying of empty courses list","LMS system","Thu Apr 23 13:46:30 UTC 2026","passed","Thu Apr 23 13:46:31 UTC 2026","Courses","Courses","",""
"","2115","User login with wrong email or password","LMS system","Thu Apr 23 13:46:22 UTC 2026","passed","Thu Apr 23 13:46:24 UTC 2026","Authorization","Authentication","",""
"","3538","Edit course","LMS system","Thu Apr 23 13:46:31 UTC 2026","passed","Thu Apr 23 13:46:35 UTC 2026","Courses","Courses","",""
"","1218","User login with wrong email or password","LMS system","Thu Apr 23 13:46:24 UTC 2026","passed","Thu Apr 23 13:46:26 UTC 2026","Authorization","Authentication","",""
"","2573","Create course","LMS system","Thu Apr 23 13:46:31 UTC 2026","passed","Thu Apr 23 13:46:34 UTC 2026","Courses","Courses","",""
"","3627","User login with correct email and password","LMS system","Thu Apr 23 13:46:24 UTC 2026","passed","Thu Apr 23 13:46:28 UTC 2026","Authorization","Authentication","",""
"","1464","Check displaying of dashboard page","LMS system","Thu Apr 23 13:46:35 UTC 2026","passed","Thu Apr 23 13:46:37 UTC 2026","Dashboard","Dashboard","",""
"","1891","Registration with correct email, username and password","LMS system","Thu Apr 23 13:46:26 UTC 2026","passed","Thu Apr 23 13:46:28 UTC 2026","Registration","Authentication","",""
"","2124","User login with wrong email or password","LMS system","Thu Apr 23 13:46:22 UTC 2026","passed","Thu Apr 23 13:46:24 UTC 2026","Authorization","Authentication","",""
