"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3097","Create course","LMS system","Tue May 12 15:06:09 UTC 2026","passed","Tue May 12 15:06:12 UTC 2026","Courses","Courses","",""
"","4204","Edit course","LMS system","Tue May 12 15:06:10 UTC 2026","passed","Tue May 12 15:06:14 UTC 2026","Courses","Courses","",""
"","1982","Check displaying of empty courses list","LMS system","Tue May 12 15:06:07 UTC 2026","passed","Tue May 12 15:06:09 UTC 2026","Courses","Courses","",""
"","2607","Registration with correct email, username and password","LMS system","Tue May 12 15:06:05 UTC 2026","passed","Tue May 12 15:06:08 UTC 2026","Registration","Authentication","",""
"","1814","Check displaying of dashboard page","LMS system","Tue May 12 15:06:15 UTC 2026","passed","Tue May 12 15:06:17 UTC 2026","Dashboard","Dashboard","",""
"","4136","User login with correct email and password","LMS system","Tue May 12 15:06:00 UTC 2026","passed","Tue May 12 15:06:04 UTC 2026","Authorization","Authentication","",""
"","2066","User login with wrong email or password","LMS system","Tue May 12 15:05:58 UTC 2026","passed","Tue May 12 15:06:00 UTC 2026","Authorization","Authentication","",""
"","1549","User login with wrong email or password","LMS system","Tue May 12 15:06:00 UTC 2026","passed","Tue May 12 15:06:02 UTC 2026","Authorization","Authentication","",""
"","1986","Navigation from login page to registration page","LMS system","Tue May 12 15:06:02 UTC 2026","passed","Tue May 12 15:06:04 UTC 2026","Authorization","Authentication","",""
"","2172","User login with wrong email or password","LMS system","Tue May 12 15:05:58 UTC 2026","passed","Tue May 12 15:06:00 UTC 2026","Authorization","Authentication","",""
