"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5213","User login with correct email and password","LMS system","Tue May 12 13:09:02 UTC 2026","passed","Tue May 12 13:09:08 UTC 2026","Authorization","Authentication","",""
"","2096","Registration with correct email, username and password","LMS system","Tue May 12 13:09:04 UTC 2026","passed","Tue May 12 13:09:06 UTC 2026","Registration","Authentication","",""
"","2092","User login with wrong email or password","LMS system","Tue May 12 13:09:00 UTC 2026","passed","Tue May 12 13:09:02 UTC 2026","Authorization","Authentication","",""
"","1797","Check displaying of empty courses list","LMS system","Tue May 12 13:09:09 UTC 2026","passed","Tue May 12 13:09:11 UTC 2026","Courses","Courses","",""
"","1638","User login with wrong email or password","LMS system","Tue May 12 13:09:02 UTC 2026","passed","Tue May 12 13:09:04 UTC 2026","Authorization","Authentication","",""
"","3500","Create course","LMS system","Tue May 12 13:09:11 UTC 2026","passed","Tue May 12 13:09:14 UTC 2026","Courses","Courses","",""
"","2119","User login with wrong email or password","LMS system","Tue May 12 13:09:00 UTC 2026","passed","Tue May 12 13:09:02 UTC 2026","Authorization","Authentication","",""
"","4230","Edit course","LMS system","Tue May 12 13:09:12 UTC 2026","passed","Tue May 12 13:09:16 UTC 2026","Courses","Courses","",""
"","1776","Check displaying of dashboard page","LMS system","Tue May 12 13:09:16 UTC 2026","passed","Tue May 12 13:09:18 UTC 2026","Dashboard","Dashboard","",""
"","1508","Navigation from login page to registration page","LMS system","Tue May 12 13:09:08 UTC 2026","passed","Tue May 12 13:09:09 UTC 2026","Authorization","Authentication","",""
